id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg18851985,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 12:22:15,dukeneptun,Legendary,1064,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"That is quite an accusation you are making now. This was told to you directly from Adam?  Ace, Care to reply?",False
2,msg18852026,https://bitcointalk.org/index.php?topic=1879453.0,msg18851985,39309,Announcements (Altcoins),2017-05-03 12:24:38,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"     Direct from the horses mouth, he told me more information too but im still waiting for the dev to admit or deny his involvement with viralcoin and its developers.",False
3,msg18852052,https://bitcointalk.org/index.php?topic=1879453.0,msg18851943,39309,Announcements (Altcoins),2017-05-03 12:25:45,troicho,Member,84,10,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"    Almost half of the ICO sold for less than a day, but anyway... keep us entertained, you funny idiot",False
4,msg18852110,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 12:28:51,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"Devs friends are coming out now to fight, ok?  Let's fight!  But first we need to find out if Adam is a liar or if the dev did work on that ico, got paid, and then ran away with his money.",False
5,msg18852142,https://bitcointalk.org/index.php?topic=1879453.0,msg18852052,39309,Announcements (Altcoins),2017-05-03 12:30:53,dukeneptun,Legendary,1064,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,   For all we know Ace could have borrowed the btc from a friend to help sellout his ico. With ico's no one is ever sure if the money invested is real but I must say that the accusations against Ace are pretty serious and need to be addressed. Waiting.,False
6,msg18852144,https://bitcointalk.org/index.php?topic=1879453.0,msg18852026,39309,Announcements (Altcoins),2017-05-03 12:31:04,APX.Ventures,Newbie,28,0,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   Ace was asked to help consult for VIRAL and he was compensated a small amount for doing so. He was never a part of the development team. That is as far as his involvement with VIRAL goes. However, this has absolutely nothing to do with APX Ventures.",False
7,msg18852180,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 12:33:20,Epimetheus,Legendary,1120,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"@Bemerand  You really act like a 5-year old who's lolly got stolen by another kid. Damn.  We are all screwing each other and we all like it. So, big deal We profit sometimes and we lose sometimes. That is crypto If you are here to warn others, your point has been made. Thank you. Now leave the thread clean please.  All things aside. Whatever happened in the past has happened. We all made wrong calls. Me including. Move on. Get over it. This project looks very promising. And yes I bought some APX too. Glad I did  ",False
8,msg18852205,https://bitcointalk.org/index.php?topic=1879453.0,msg18852144,39309,Announcements (Altcoins),2017-05-03 12:34:57,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"    Now that is scary because now I know the rest of what adam told me must be true. Is it true that Ace had another ico for some traders coin? Is it also true that ace was brought into viralcoin by his ""best buddy"" Bobsurplus who is the king of scams?",False
9,msg18852214,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 12:36:03,notsofast,Legendary,1495,1036,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"At this juncture, the announcement purpose for which this thread was created is complete. The project has been announced and the crowdfund is underway.  We acknowledge the remaining unanswered questions herein. They will be answered (and in many cases, already *have* been answered) in APX Ventures' chosen communication channels.  These are:  1. The Ubiq slack in the #apx-ventures channel: http://slack.ubiqsmart.com/  2. The dedicated APX Ventures telegram channel: http://t.me/apxventures  3. Twitter       - @APX_Ventures for announcements and general enquiries      - @AceOfWallStreet for general questions to Ace      - @mistymountainII for questions related to physical mining operations      - @block_talk for questions related to cryptoasset review platform development      - @notsofast for questions related to mining strategy  I will now update the OP to reflect this final post, and lock this topic. Everyone at APX Ventures thanks you for your interest thus far, and looks forward to continuing the discussion with you on Slack, Telegram or Twitter.",False
10,msg18849613,https://bitcointalk.org/index.php?topic=1879453.0,msg18849549,39309,Announcements (Altcoins),2017-05-03 09:19:14,Epimetheus,Legendary,1120,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,  The price is actually pretty low considering the fact that there are max 1M tokens. Pretty safe bet here.,False
11,msg18849868,https://bitcointalk.org/index.php?topic=1879453.0,msg18849170,39309,Announcements (Altcoins),2017-05-03 09:43:59,dukeneptun,Legendary,1064,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,   Looks like he's not wanting to answer. I sent a pm to bemmerand to ask him what he heard and to get more background information. For now we wait and see it Ace will answer the questions but it should be simple yes I was with x and y team or I made x and y coin or no I have never and this is my first crypto venture and my first ico. It's not that difficult.,False
12,msg18850528,https://bitcointalk.org/index.php?topic=1879453.0,msg18849868,39309,Announcements (Altcoins),2017-05-03 10:39:17,robinsbrown,Full Member,574,101,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,  this for me it is good reason to stay away from this ico! dev you should answer first!,False
13,msg18850899,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 11:09:37,limbaugh,Legendary,1312,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,Is there no one left that remembers what a disaster BTC mining securities were? And these clowns are going to pull this off?  Wake up people.,False
14,msg18851133,https://bitcointalk.org/index.php?topic=1879453.0,msg18846704,39309,Announcements (Altcoins),2017-05-03 11:26:30,APX.Ventures,Newbie,28,0,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"I never refused to answer his question, please learn to read.      Once again, as stated multiple times  Quote from: APX.Ventures on April 20, 2017, 11:46:25 PM   Please note that slack and telegram are our main methods of communication   Bitcointalk is not a priority for us in terms of communication. If you want to know more, please simply follow instructions.",False
15,msg18851219,https://bitcointalk.org/index.php?topic=1879453.0,msg18851133,39309,Announcements (Altcoins),2017-05-03 11:32:59,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   Ur communicating right now. Just answer the question. I dont do slack, this is where I ask questions before deciding on investing or not. Why you feel the need to not reply here but only in ur slack is beyond me. Please answer my questions. Many people are curious.",False
16,msg18851245,https://bitcointalk.org/index.php?topic=1879453.0,msg18849217,39309,Announcements (Altcoins),2017-05-03 11:34:46,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,   It matters if he has a previous track record that we need to know about.,False
17,msg18851283,https://bitcointalk.org/index.php?topic=1879453.0,msg18851219,39309,Announcements (Altcoins),2017-05-03 11:37:06,APX.Ventures,Newbie,28,0,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   All you need to do is create an account, you don't even need to install Slack. Why you cannot simply create a slack account is beyond me. It will take you less than one minute. If you look at the previous responses provided by the APX Team, we have been responding consistently in the same manner to everyone so we are not giving you 'special treatment'.  If anyone is genuinely interested in the project, please join telegram or slack like the 400 other people who have. We have addressed every single question to everyone's complete satisfaction.",False
18,msg18851318,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 11:39:59,Roselop,Full Member,168,100,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,I missed this chance to join this ICO Project because of the lack of funds .    It's interesting to see many investors to buy it on the bittrex exchange.  I will wait for a while to get more funds from another project the I can join this game .  I hope I 'm not late to do this action.,False
19,msg18851406,https://bitcointalk.org/index.php?topic=1879453.0,msg18851283,39309,Announcements (Altcoins),2017-05-03 11:45:36,Flomess,Hero Member,706,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"    I don't quite get it. What are you saying for many posts is: ""i can't answer you here, join slack and you'll get an answer"" but why couldn't you simply answer here? Whouldn't that be faster than repeating to join slack and only then answering? What's really the point?  Looks shady to be honest",False
20,msg18851467,https://bitcointalk.org/index.php?topic=1879453.0,msg18851406,39309,Announcements (Altcoins),2017-05-03 11:49:55,APX.Ventures,Newbie,28,0,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   You can keep making baseless accusations or you can simply do as instructed! Up to you. If you aren't willing to make the effort of creating a slack or telegram account (which is very easy), then do you really care about this project? You can consider it shady all you want but we have been conducting majority of communications through our slack and telegram ever since the beginning so there is no change. We have been consistent since the creation of this thread.",False
21,msg18851528,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 11:53:18,Flomess,Hero Member,706,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,And you are not willing to answer any questions on the same board on which you are promoting your ICO because? Do you have shares in the Slack and Telegram companies or?,False
22,msg18851604,https://bitcointalk.org/index.php?topic=1879453.0,,39309,Announcements (Altcoins),2017-05-03 11:58:42,Epimetheus,Legendary,1120,1000,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,What is the slack link?,False
23,msg18851653,https://bitcointalk.org/index.php?topic=1879453.0,msg18851467,39309,Announcements (Altcoins),2017-05-03 12:02:29,derBruchpilotPro,Sr. Member,322,250,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"    There are many ppl who doesn't want to make the 1000th account for reading something. Every time after creating, I'm receiving more and more spam and crypto-phishing on the mail accounts...  And it seems telegram asks for a phone-number!? - no way!     edit: typo",False
24,msg18851690,https://bitcointalk.org/index.php?topic=1879453.0,msg18851604,39309,Announcements (Altcoins),2017-05-03 12:04:21,raetsch,Legendary,952,1006,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,   slack.ubiqsmart.com,False
25,msg18851709,https://bitcointalk.org/index.php?topic=1879453.0,msg18851467,39309,Announcements (Altcoins),2017-05-03 12:05:40,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   Im not the one begging for money on a forum. You are. And as such I have the right to ask you any questions, If you dont want to answer that's ur call but it will show negatively on you and your project. I also never once made any accusations, baseless or full of warrant. I just asked you three simple questions which still two days later you refuse to answer.  Let me ask you a more direct question then.  Adam Guerbuez has told me you worked with him on the Viralcoin ico and that you got paid and then ran from the project?  Is that information accurate?  Some information on Adam, in case you forgot him.  https://bitcointalk.org/index.php?topic=1830790.0 https://steemit.com/crypto/@fyrstikken/why-i-decided-to-dump-flibbr-and-adam-guerbuez-from-stakepool-com https://forums.burst-team.us/topic/4409/viral-coin-mr-adam-guerbez-and-the-missing-200-bitcoin",False
26,msg18851795,https://bitcointalk.org/index.php?topic=1879453.0,msg18851653,39309,Announcements (Altcoins),2017-05-03 12:10:29,notsofast,Legendary,1495,1036,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,"   Honestly if you are serious about due diligence on an investment project you will use a throwaway email and a throwaway Google Voice phone number to sign up for services you don't expect to continue to use. To those people who are not interested in doing that, there's no obligation for APX to step outside its chosen channels especially for you. The Do Your Own Research ethos involves effort on Your part.",False
27,msg18851914,https://bitcointalk.org/index.php?topic=1879453.0,msg18851795,39309,Announcements (Altcoins),2017-05-03 12:17:40,Bemerand,Hero Member,532,500,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,   The dev could be a scamer and now you are standing up for him? You must be in on this scam as well.,False
28,msg18851919,https://bitcointalk.org/index.php?topic=1879453.0,msg18851283,39309,Announcements (Altcoins),2017-05-03 12:17:50,robinsbrown,Full Member,574,101,,[ANN] Λ (APX) APX Ventures | Ubiq-Secured | Crowdfund + Escrow via Bittrex ✔ |,     Dont understand why to open a thread here and then ask people to join to slak!  was better to use any media like cointelegraph.com or other media and say we are running an ICO if you are interested please join the slack channels! You did open dev this thread not the investors!  ,False
