id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg22511347,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-03 13:17:25,Luigi21,Sr. Member,504,252,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"I am only helping to post the ANN thread, kindly direct your question to another person  Join the Magnum Club Telegram | Facebook | Twitter | Medium www.magnumlink.com     LEARN MORE: https://www.magnumlink.com/  Join the conversation  FACEBOOK: facebook.com/magnumLink TELEGRAM: @preciousICO TWITTER: @magnumlink1 MEDIUM: @magnumlink",False
2,msg22511625,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-03 13:23:46,Jasonbeetle,Full Member,420,100,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,Wish success to project! ,False
3,msg23284839,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-20 17:26:27,Dmitriy_ICO,Newbie,10,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,Waiting for bounty campaign,False
4,msg23427667,https://bitcointalk.org/index.php?topic=2233708.0,msg23284839,1001,Announcements (Altcoins),2017-10-23 19:04:05,megatrend66,Newbie,91,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"   Hi, soon we will have the ANN about the bounty and the date for the campaign.  Thank you for your interest.",False
5,msg23439113,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-24 02:21:09,Scor Pio,Full Member,393,100,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,what kind of company is this ? and where is this company based ?,False
6,msg23448334,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-24 07:51:32,Jasonbeetle,Full Member,420,100,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,Mining company - can we mine your coins?,False
7,msg23465689,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-24 14:32:06,MagnumLink,Newbie,22,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"quote author=Scor Pio link=topic=2233708.msg23439113#msg23439113 date=1508811669] what kind of company is this ? and where is this company based ? [/quote]  Hi there Scor Pio  Thanks for your interest. MagnumLink is a registered Ltd company with significant investment already made in exploration of precious minerals in Sierra Leone.  You can see our draft video here https://youtu.be/lMWHkkgvkBo  Soon our final video will be on our website www.magnumlink.com as you can see we go full steam forward in preparing for the ICO. On our web-site you can find the white paper and other important information.  After watching the draft video, if you have any questions or feedback please provide it to us. You can meet the team preparing the ICO and the work of the company after it directly on Telegram at www.t.me/preciousico  Kind regards MagnumLink team",False
8,msg23467061,https://bitcointalk.org/index.php?topic=2233708.0,msg23448334,1001,Announcements (Altcoins),2017-10-24 14:59:17,MagnumLink,Newbie,22,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"   We mine precious minerals in nature and buy precious minerals from certified sellers to back digital tokens that are supported by the precious minerals.  So, for instance one digital MLG token will be worth 1 gr of gold, 1 MLS token will be worth 1 gr of silver, 1 MLD token will be worth 1 carat of a diamond etc.  The tokens we are going to issue during the ICO are MLTs and provide investors with 50% of the profits we will create by the following activities:  1. Natural mining of precious minerals in Sierra Leone and internationally 2. Exchange fees from our exchange platform and 3. Refining of the precious minerals.  Yes. There will be mining albeit not of a digital coin.  Given our tokes will be Ethereum based while we expect most purchases to come by Bitcoins, there is a way for two types of mining: digital and natural. So we combine both.",False
9,msg23467453,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-24 15:07:03,Krezz2017,Full Member,560,128,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"Exploration, extraction and processing of minerals is an interesting project. But I would like to know more. A production license is, no? Equipment. Resources. Frames. Where going to make production? How quickly will investments pay off?",False
10,msg23467973,https://bitcointalk.org/index.php?topic=2233708.0,msg23467453,1001,Announcements (Altcoins),2017-10-24 15:16:57,MagnumLink,Newbie,22,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"   Thanks for the high quality questions.  Our team has decades long experience in the field of precious gems and metals. We know too that profit margins in this industry are ENORMOUS.  Our company already has license and part of the resources needed. The production will start in Sierra Leone. But profits will come before that. First we will launch a digital token exchange. This exchange will bring us fees. Also, when someone wants to exchange tokens for gold or diamonds we will charge a fee. So, our exchange platform will bring profits before mining and refining.  We will publish the dates soon along with more info. Our Whitepaper is already online at www.magnumlink.com.  Our official ANN is coming soon.  Thanks for your interest.",False
11,msg23534364,https://bitcointalk.org/index.php?topic=2233708.0,,1001,Announcements (Altcoins),2017-10-25 19:46:26,megatrend66,Newbie,91,0,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"I've heard that MagnumLink will be publishing their our official ANN soon and start the closed pre-sale.  If anyone is interested let me know in PM, I know a co-founder from the team.",False
12,msg23764726,https://bitcointalk.org/index.php?topic=2233708.0,msg23465689,1001,Announcements (Altcoins),2017-10-30 12:39:31,Ted Kin,Full Member,546,104,,[Coming Soon] Magnum Link - MINING | REFINING | TRADING - Precious METALS & GEMS,"   Hi there Scor Pio  Thanks for your interest. MagnumLink is a registered Ltd company with significant investment already made in exploration of precious minerals in Sierra Leone.  You can see our draft video here https://youtu.be/lMWHkkgvkBo  Soon our final video will be on our website www.magnumlink.com as you can see we go full steam forward in preparing for the ICO. On our web-site you can find the white paper and other important information.  After watching the draft video, if you have any questions or feedback please provide it to us. You can meet the team preparing the ICO and the work of the company after it directly on Telegram at www.t.me/preciousico  Kind regards MagnumLink team [/quote] A new Ukrainian team in a new country after the Sudan and Mali? I know that in Sierra Leone English companies work about the Ukrainian did not hear. Do you have official registration documents?",False
