id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg20312040,https://bitcointalk.org/index.php?topic=1923612.0,msg20300480,17127,Announcements (Altcoins),2017-07-22 21:39:37,bobq,Sr. Member,980,304,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"   I'm also confident, but I think it would make investors feel better if the REX team would openly tell which security measures they're going to implement in order to avoid hacker abuses. I guess in the post-Coindash ICO era this has become something that has to be done by default.",False
2,msg20326720,https://bitcointalk.org/index.php?topic=1923612.0,msg20308150,17127,Announcements (Altcoins),2017-07-23 14:44:29,ikhsanabi,Full Member,168,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"     Thank you for the information sir, hopefully smoothly this project",False
3,msg20333460,https://bitcointalk.org/index.php?topic=1923612.0,,17127,Announcements (Altcoins),2017-07-23 20:37:02,meeekz,Sr. Member,448,250,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,Is REX adequately staffed? Who is the Chief Marketing Officer? Who is responsible for building the community?,False
4,msg20336591,https://bitcointalk.org/index.php?topic=1923612.0,msg20300480,17127,Announcements (Altcoins),2017-07-24 00:15:37,zedkiel08,Full Member,308,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"  rex team should should be able to high end its security measure regarding the hacking exploits , and it should  be avoided to make the ico successful.. goodluck rex team",False
5,msg20339045,https://bitcointalk.org/index.php?topic=1923612.0,msg20336591,17127,Announcements (Altcoins),2017-07-24 04:04:31,Apened,Hero Member,1073,500,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,  Ofcourse it is very needed in the past ICO's their site was hack i think REX is ready for it . I am excited on its ICO launch by the way is there a bonus for earlier investors ? although there is no max cap so the duration is enough to raised the highest possible amount ,False
6,msg20340999,https://bitcointalk.org/index.php?topic=1923612.0,msg20339045,17127,Announcements (Altcoins),2017-07-24 06:34:40,Btc_1856,Sr. Member,938,250,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"   Still, they didn't release any details about the total supply and how much bonus they are going to give for early investments. Many people are waiting for the details.",False
7,msg20350517,https://bitcointalk.org/index.php?topic=1923612.0,,17127,Announcements (Altcoins),2017-07-24 14:47:43,eye-con,Full Member,393,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,This project is so good. Now i'm looking forward for more update. Thank you.,False
8,msg20350639,https://bitcointalk.org/index.php?topic=1923612.0,,17127,Announcements (Altcoins),2017-07-24 14:52:55,iwantapony,Hero Member,877,528,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"Hello REX Community! We are pleased to announce that the REX contribution period will kick off on Monday, July 31st at 4:00pm UTC. Read More",False
9,msg20351035,https://bitcointalk.org/index.php?topic=1923612.0,msg20350639,17127,Announcements (Altcoins),2017-07-24 15:09:12,Cedrick,Full Member,333,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,       Thank you for the urgent update sir. This project runs good as well.,False
10,msg20351185,https://bitcointalk.org/index.php?topic=1923612.0,,17127,Announcements (Altcoins),2017-07-24 15:16:08,jalaaal,Full Member,370,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,I'm so blessed that i'm one of the member of this project. Hope we finish this project with a good and high rate.,False
11,msg20352396,https://bitcointalk.org/index.php?topic=1923612.0,msg20350639,17127,Announcements (Altcoins),2017-07-24 16:13:02,ikhsanabi,Full Member,168,100,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,"         Thanks for the latest information sir, this project is very good for us all",False
12,msg20359155,https://bitcointalk.org/index.php?topic=1923612.0,msg20336591,17127,Announcements (Altcoins),2017-07-24 22:38:53,JeffBrad12,Hero Member,1204,500,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,  The best example such as coindash with the worst security. And the parity hack can't be a good example for the developer. I think that the coindash gets exploit as you said that. The security becomes the main thing for the team to keep the security gets update anytime. Because the security is expensive part in the digital startup.,False
13,msg20362476,https://bitcointalk.org/index.php?topic=1923612.0,,17127,Announcements (Altcoins),2017-07-25 03:14:31,iwantapony,Hero Member,877,528,,[ANN] Rex- A Peer To Peer | REAL Estate PLATFORM |,We'll be moving the community to Discord. There are better security options. The team will toggle between this community and Discord until everyone has migrated. Thanks! INVITE: https://discord.gg/89gcSR,False
