id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg24983068,https://bitcointalk.org/index.php?topic=2318717.0,msg24980619,6388,Announcements (Altcoins),2017-11-21 21:39:09,Truthfinder76,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  How they can do this if in Texas poker is no swapping of cards, you get your 2 cards and trying to combine it with table. About bots, if you can see it by your eyes and remember it, so you, or programm, can record it. Cloud games defends from scams and hacks.",True
2,msg24983301,https://bitcointalk.org/index.php?topic=2318717.0,msg24975014,6388,Announcements (Altcoins),2017-11-21 21:45:24,Vasyafet,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  It's not exactly like he answered, search for an answer from VIABET, they commented this recently.",True
3,msg25002270,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-22 07:53:12,densuj,Legendary,910,1000,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,The VIABET Pre-Sale is officially closed!  We'd like to thank everyone who has contributed and helped us reach our soft cap goal and beyond!  As we transition into our public ICO we're going to continue our announcement thread in the Alternate cryptocurrencies > Announcements (Altcoins) section with the goal of our project receiving even more exposure.  Our new thread can be found HERE: https://bitcointalk.org/index.php?topic=2441182.0,True
4,msg24890538,https://bitcointalk.org/index.php?topic=2318717.0,msg24889823,6388,Announcements (Altcoins),2017-11-20 11:00:37,Vasyafet,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  I agree with you, but i read that users will be able to change rules in his games. Maybe it means change numbers or something that not changes mechanics of the game.",True
5,msg24896545,https://bitcointalk.org/index.php?topic=2318717.0,msg24889823,6388,Announcements (Altcoins),2017-11-20 13:00:11,Aleksandra 81,Member,434,11,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  Each client platform itself decides which game to play: choose the platform games or other users. But in any case, honesty will be everywhere, as the system of Blockchain of deception will not allow.",True
6,msg24897292,https://bitcointalk.org/index.php?topic=2318717.0,msg24896545,6388,Announcements (Altcoins),2017-11-20 13:13:56,Kpss_pro,Member,266,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,  Competition does not like the rules you don't want to play and choose another user,True
7,msg24903422,https://bitcointalk.org/index.php?topic=2318717.0,msg24897292,6388,Announcements (Altcoins),2017-11-20 15:00:54,Aleksandra 81,Member,434,11,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  I meant that every player of the VIABET project will be free to choose their own entertainment. If he only likes VIABET games, then this is his personal choice.",True
8,msg24922254,https://bitcointalk.org/index.php?topic=2318717.0,msg24896545,6388,Announcements (Altcoins),2017-11-20 21:22:17,Truthfinder76,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  It's true, don't allow, but you wouldn't want to learn new rules in each game. It's my opinion.",True
9,msg24922414,https://bitcointalk.org/index.php?topic=2318717.0,msg24922254,6388,Announcements (Altcoins),2017-11-20 21:26:45,Vasyafet,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,  Maybe VIABET will make this mode up and test during some time popularity of such games.,True
10,msg24931352,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 02:58:27,jmigdlc99,Sr. Member,630,278,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"Whether its user or system created games, whichever works for you, what matters is that Viabet is a truly innovative platform for online cryptocurrency casinos and this is just the beginning. Loving the user interface and i'm looking forward to when this is carried over to the actual casino. I've invested in Viabet not just to profit from ICO proceeds but to actually use these tokens to play on their platform.",True
11,msg24933945,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 04:43:15,densuj,Legendary,910,1000,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,,True
12,msg24939511,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 07:26:51,sahabond,Full Member,350,100,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,The casino's profit will be be between the tokens ' owners?,True
13,msg24952686,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 11:58:12,Wei H,Legendary,1205,1000,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,A great project! I'm offering professional project Chinese translation if you're interested: https://bitcointalk.org/index.php?topic=1005465.0,True
14,msg24962372,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 14:43:43,densuj,Legendary,910,1000,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,The Pre-Sale closes in 2 hours.,True
15,msg24972582,https://bitcointalk.org/index.php?topic=2318717.0,msg24939511,6388,Announcements (Altcoins),2017-11-21 17:55:22,Truthfinder76,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  They are not planning to distribute their profit between tokens holders, you can only exchange tokens to money. If i understand your question right way.",True
16,msg24973018,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 18:04:08,Vasyafet,Member,434,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"What means ""operations"" in token distribution?",True
17,msg24973062,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 18:04:55,Greek Translator,Full Member,434,104,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,Greek Translation is live https://bitcointalk.org/index.php?topic=2437835,True
18,msg24975014,https://bitcointalk.org/index.php?topic=2318717.0,msg24834472,6388,Announcements (Altcoins),2017-11-21 18:42:57,StarSLight,Member,322,40,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"  Thank you for your answer, now I understand the point. Before this can not be understood",True
19,msg24980619,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 20:41:15,marmeladko,Full Member,212,100,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,"I like to play Texas poker. Interestingly, the platform will be protected from bots that monitor the maps of others",True
20,msg24981426,https://bitcointalk.org/index.php?topic=2318717.0,msg24980619,6388,Announcements (Altcoins),2017-11-21 21:01:20,Kpss_pro,Member,266,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,  And the fact that you can open your poker table is more pleasant.,True
21,msg24982228,https://bitcointalk.org/index.php?topic=2318717.0,msg24981426,6388,Announcements (Altcoins),2017-11-21 21:19:22,sahabond,Full Member,350,100,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,  But first you have to play against the casino and earn EDGE tokens.,True
22,msg24982454,https://bitcointalk.org/index.php?topic=2318717.0,,6388,Announcements (Altcoins),2017-11-21 21:24:28,Kpss_pro,Member,266,10,,☘☘☘☘[ANN] [PRE-ICO LIVE] | VIABET | WORLD'S FIRST CLOUD BETTING PLATFORM |☘☘☘☘,Where can I see a list of how many EDGE tokens are needed to open a game?,True
