id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41243125,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 21:39:04,REYES07,Newbie,33,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","Their idea is quite attractive in my mind! Spotless project, absorbing design.  Good luck!",False
2,msg41243695,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 21:52:36,HaydenLogins,Newbie,31,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",What plans do you have for the tokens that are not sold in the preICO and ICO? Will be burned or blocked by smart contract?,False
3,msg41243992,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 22:00:47,hokuchii,Newbie,28,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",I suppose that this project is pretty a gainful investment currently!  Good luck fellows.,False
4,msg41306782,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-01 18:15:39,CheraFaye,Newbie,51,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","This project looks promising. Developers well done, well tried to design. As I have been reviewing this project I began to like this project.  I think there will be something interesting, but how can I find out how many people have already registered? I have not found a counter on the website.",False
5,msg41307227,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-01 18:22:07,KatelynCooper,Newbie,59,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","Sounds really interesting. I will follow your further news. I looked through your website, it looks beautiful and tasteful. I have not figured it all out yet, but I enjoyed reading whitepaper very much. Also thanks for the feedback and for the detailed answers to all questions. I hope you guys will succeed.",False
6,msg41307848,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-01 18:30:39,DustanPorter,Newbie,57,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",What about the legalization? Are you guys officially registered as the company? If so where?  How will investors benefit from acquiring your tokens?,False
7,msg41309029,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-01 18:46:19,AndrewPeoples,Newbie,62,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",The idea is really cool I'd like take part with you Hope that you will move on in different ways after your first steps Because it's really great idea for a global movement in cryptoworld,False
8,msg41310497,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-01 19:05:36,LaTishaLaToya,Newbie,49,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","It's great that there are more projects with a new concept. Moreover, the market is not such a big offer on this topic, so the project will be successful, I think. I hope investors will also be satisfied by buying this token",False
9,msg41366848,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-02 15:23:56,MataHati,Jr. Member,280,3,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","where can i ask about bounty? while I from the telegram group was removed, when I re-enter the telegram link error -_-",False
10,msg41501257,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-04 13:31:48,kickstarter,Full Member,420,105,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I feel like everybody's asking about the things that make your project special and other technical stuff like soft, etc., so I'm going to take a different route, I'm gonna ask exactly how important is this whole ""be social"" aspect to you? Do you plan on improving it along the way?",False
11,msg42048272,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-12 17:39:38,89shaky,Member,266,10,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",AcuteCoin is an excellent way to earn more. Anyone who holds AcuteCoin in his wallet will receive interest on their balance sheet in exchange for helping to maintain network security.,False
12,msg42411834,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-07-18 12:49:53,LilFreddy,Newbie,154,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",what is the main purpose of the project? creating a social platform or building a banking system?,False
13,msg44075296,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-08-14 14:45:56,tuansyho2,Newbie,182,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",I am your fan and always watch over your account on the online Medium where you post your project. I'm glad the latest news and I will continue to monitor the development of the project!,False
14,msg45273520,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-09-06 09:51:53,TokensMarketplace,Newbie,210,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","Hello,  We are pleased to inform you that AcuteCoin is now listed on TokensMarketplace https://tokensmarketplace.com/vendors/acutecoin/  If you want to update information about your token, contact marketing@tokensmarketplace.com   You can also list Airdrop for free!  Best, Tokens Marketplace",False
15,msg45559836,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-09-12 02:21:49,economistprocesswa,Newbie,6,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I see this as a solid foundation, focused on the user brings great flexibility. It safe with the security contract and private, fast transaction.",False
16,msg41022432,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-27 15:45:42,EmmaVitto@tutanota.com,Newbie,43,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",How will AcuteCoin generate income?,False
17,msg41026062,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-27 16:43:41,JaredWallace,Newbie,45,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",Any info on what exchanges will the coin be listed?,False
18,msg41026112,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-27 16:44:25,RobertNykanen,Newbie,72,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I looked at your site and the whitepaper. Quite an interesting project. Such a team as you, can implement it. I hope that ICO will be successful!",False
19,msg41095293,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 16:41:31,JaredWallace,Newbie,45,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",Nice project! Hope to see more news about you in Medium!,False
20,msg41095593,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 16:45:39,ludmila79,Member,182,10,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",Not a big majority of coins care to work within a plan. I'll keep my eyes on this one. There are some very creative ideas. Project will surely have a huge success!,False
21,msg41096084,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 16:52:24,JessicaAshl,Newbie,50,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",The project looks interesting. But I have few questions. What kind of a problem are you going to solve ?. How do you find the capital to run the project ?,False
22,msg41097192,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 17:08:04,HaydenLogins,Newbie,31,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","look like the team is very professional,, hopely can contribute a few amount in this project.",False
23,msg41098427,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 17:26:44,ShelbyMcPersoann,Newbie,10,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","your idea is clear, but when you try to implement a blockchain it's not entirely clear to me, explain to me in a few words), I want to understand",False
24,msg41099063,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 17:36:36,JacobPeterzAnne,Newbie,13,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","looks like a interesting project, how much price of AcuteCoin dev ?",False
25,msg41099190,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-28 17:38:21,Grandevchildplac,Newbie,46,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I hope your business runs happily! Seamless approach, a rather interesting website.  Good luck.",False
26,msg41173268,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-29 19:45:52,Marium Diaz,Newbie,31,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",Will we be able to store our AcuteCoin on MyEtherWallet?,False
27,msg41173402,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-29 19:49:01,GAGA GRAY,Newbie,30,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",What will be the main purpose of AcuteCoin?,False
28,msg41173435,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-29 19:49:47,James Anderson,Newbie,32,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I will wait for ICO because it looks great, very good and I like it very much",False
29,msg41173883,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-29 19:59:44,CoreyMoorey,Newbie,39,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",Which currencies will you be accepting during the Token sale? Only ETH and BTC?,False
30,msg41174931,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-29 20:23:13,FaitheLeaanAn,Newbie,48,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","The business looks quite promising! Sensible vision, flawless results, very nice project.",False
31,msg41226914,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 16:28:45,geogia122,Newbie,32,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",I am interested on this business. I'll watch this to see what is going to happen!  Good luck guys!,False
32,msg41227586,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 16:38:24,yaahub_exchange_support1,Newbie,9,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","Greetings  AcuteCoin Team ,  Firstly , We went through project and we wish you all the best for your future endeavors.  We are glad to ANNOUNCE to list your token or COIN in our TRADING PLATFORM F0R 2000$ & PAIR WITH ANY CRYPTO PAIR OF YOUR CHOICE( BTC,ETH,LTC,ETC)  IN 5 WORKING DAYS  ★ Conditions Apply - Subject to Source code validation for integration from our developer  Included Benefits: SEO Traffic to your Website : Improve Your Global Rank of your website Top 300k Within A Month Build 500,000 high quality GSA SER backlinks for SEO rank Press Distribution to many News Sites Including Google News,Digital Journal  RESULTS: ★ More Clients will trade in your crypto coin. ★ Announcement/ Press Release of our Joint collaboration. ★ Links from over 300 Platform ★ Highest number of Dofollow ★ Anchor Text Variations ★ High Majestic TF and MOZ Domain Authority ★ 100% Unique Comments ★ Over 2,000 Anonymous Proxies ★ Premium SE.O Indexer ★ Reports detailed in CSV with Live Proof ★ 24/7 Support ★ Guaranteed Satisfaction ★ Adsense and other Ad network Safe ★ High Quality Search Traffic ★ Low Bounce Rate ★ Keyword Search Visitors ★ Real Time Stats and Google Analytics ★ Extensive customer support  Please contact us with regards to listing : Email : support@yaahub.com Telegram : https://t.me/yaahubexchange Btctalk: https://bitcointalk.org/index.php?topic=4523691.0",False
33,msg41241668,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 21:06:17,zain_h332,Newbie,46,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I suppose this idea is very good and cool! Amazing approach, in right mind logo,  detailed and profitable activity.",False
34,msg41241831,https://bitcointalk.org/index.php?topic=3349605.0,msg41227586,2631,Announcements (Altcoins),2018-06-30 21:09:36,Visteryy,Member,322,10,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","  This is a very potential project and I am working on it, I hope the project will develop as planned by the management team. I will consider investing in this project in the near future. Please let me know if there is any further information on this project.",False
35,msg41242988,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-30 21:35:41,Dana BROOK,Newbie,24,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I expect this project will be useful. Unblemished design, plausible approach, very nice activity! This project really have a bright future. If you will read in their white paper it was clearly stated what is there objectives. You will not regret if you invest here.",False
36,msg40727882,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-23 12:40:15,Chris BENNETT,Newbie,19,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",How much is the soft cap of this ICO?,False
37,msg40812192,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-24 15:22:22,AndrewPeoples,Newbie,62,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",so many publications about your project!!! an excellent idea! wish you luck!,False
38,msg40813097,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-24 15:32:53,LaTishaLaToya,Newbie,49,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",how you can earn from your knowledge platform beside from ICO?,False
39,msg40813773,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-24 15:40:53,LivDamone,Jr. Member,140,1,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","The project is now beginning to interest a growing number of people, advertising really works well. Soon we will see the launch of this steep project.",False
40,msg40815312,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-24 15:58:47,CoreyMoorey,Newbie,39,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social",As the days go by there are more people who gets involve with AcuteCoin. The campaign and the members running the campaign is very effective. Well done guys.,False
41,msg40817155,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-24 16:20:16,TomKirschenmann,Newbie,42,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","I suppose this idea is very nice and cool! Unblemished business, advisable approach, riveting results!",False
42,msg40899825,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-25 19:03:55,jesse kaplin,Newbie,29,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","When do you plan to present the MVP? If this is done before the end of ICO, the chances of conducting it successfully increase many times.",False
43,msg40900284,https://bitcointalk.org/index.php?topic=3349605.0,,2631,Announcements (Altcoins),2018-06-25 19:12:41,T.TAYLOR,Newbie,32,0,,"[ANN] [PRE-SALE] AcuteCoin.io | POW | POS | Masternodes - Trade, Mine be Social","the project is really interesting, I will follow social networks and news",False
