id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg46734527,https://bitcointalk.org/index.php?topic=3222272.0,msg46734315,9476,Announcements (Altcoins),2018-10-10 19:18:02,opangiren,Jr. Member,111,4,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"  Sounds so appealing, I will go to bitmart.com.",False
2,msg46971962,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-10-17 06:54:53,brother3,Hero Member,980,500,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],SIX network joins SHAPE APAC 2018 to create a good cause in shaping the future world. https://medium.com/six-network/six-network-join-shape-apac-2018-to-create-a-good-cause-in-shaping-the-future-world-d213b221ff95,False
3,msg47446645,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-10-31 08:21:33,Maria,Sr. Member,835,250,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],SIX is now live and ready to trade on Tokenomy! Click: https://t.co/9GMj7fFQDK #SIXnetwork #Tokenomy #Cryptocurrency https://t.co/FF8e4hrIQ7,False
4,msg47449270,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-10-31 10:04:23,six.network,Copper Member,67,0,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"SIX Network has announced the partnership with Tokenomy, a leading digital exchange created by the founders of Indodax, the largest digital asset exchange in Indonesia with over 1.4 million registered users.  Listing of SIX helps create an impact on Southeast Asian market directly and produce greater potential for business in the near future.  Vachara, Co-CEO SIX network said, “We see the potential of Indonesian cryptocurrency market that keeps growing and developing. So, we made a movement for this opportunity with trusted crypto environment country”  Nattavudh, Co-CEO SIX network added, “Indonesia is one of the main player in the digital economy with the amount of population as well as their tech community is much stronger now. Furthermore, Ookbee and Joylada application possess a high volume of active users in Indonesia. This give us a strategic edge. Additionally, Tokenomy is the trusted exchange who plays the main role in this future economy”.  About Tokenomy  Tokenomy is a global value creation and distribution network with two core offerings. Tokenomy Exchange, a platform that provides a marketplace for valuable tokens to be listed and traded on the crypto-only exchange. Tokenomy Launchpad is a one-stop Kickstarter-style tokenization platform in generating, distributing, and exchanging blockchain tokens.  SIX Token is now avaiable on Tokenomy, you can make an account and start trading right away.  Starting from 31st October 2018, 3PM (GMT +8), MAS and SIX can be traded on Tokenomy Exchange!",False
5,msg47482360,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-11-01 10:48:23,MihailJ,Full Member,504,102,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"On 21st October 2018, SIX joined SHAPE APAC 2018: Green Evolution and Sustainable Lifestyle by Global Shapers Bangkok. This event facilitated the first live event adoption of SIX’s crypto payment launch. https://techsauce.co/en/news/first-crypto-payment-adoption-by-six-network/?fbclid=IwAR0S5BSgwsBVjAPPksj20fwoBTbto0Q6JiSSElFVwPRf3SevFlscgtYv9Hw#SIXnetwork",False
6,msg47606622,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-11-05 09:33:46,bitbouillion,Sr. Member,870,250,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"One of SIX’s founders, a well-known Thai startup, Ookbee, saw much potential in Indonesia. They successfully launched its Joylada application which earning more than 500k users within six months. #SIXnetwork #SIXfact #Indonesia @OokbeeApp #joylada #ประเทศกูมี https://t.co/Ke5eCXVcFM",False
7,msg47855677,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-11-13 09:00:28,Maria,Sr. Member,835,250,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"Our Co-CEO, Vachara Aemavat, will join the movement to disrupt and transform the world through talks, festivals and immersive experiences as a guest speaker at DISRUPTO, the biggest tech-summit in Jakarta, Indonesia Nov. 23 - 25.          https://t.co/qXzeHhuqER #SIXnetwok https://t.co/F63HOEeRDX",False
8,msg48092590,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-11-21 07:38:36,bitbouillion,Sr. Member,870,250,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"Don’t miss the opportunity to see our Co-CEO, at the Beyond Blocks Summit Bangkok on 26th November from 1:45 to 2:30 p.m. as he joins the panel discussing cryptoreality vs. cryptofuture and the path to mass-adoption! #SIXnetwork https://t.co/kk03BwRldt",False
9,msg48485947,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-12-06 11:02:58,Crytocoin,Sr. Member,672,281,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],Check out this cool footage of SIX network team during the BeyondBlocks event last month  Connect with our Telegram community >>>> https://t.co/kT24hj2IYR  #SIXnetwork https://t.co/wCMAJdM8fp,False
10,msg48618393,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-12-12 10:23:08,six.network,Copper Member,67,0,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"SIX Network Aims to be the Pioneer in the Digital World to Integrate Blockchain in Daily Life    Extending our success by continuing to expand our client base  Today, there are over 100 million creative workers around the world that are currently being affected by the middleman system. Over 60% of their income is currently being stripped off to the middlemen. For an example, if their revenue is 100$, they would only receive 40$ since the middleman, such as payment processor, application platform or marketplace, took the big chunk out of their income. Also, each platform usually contains a token that can only be utilized on their respective platform, thus making it virtually impossible to transfer the token to different platforms. These tokens also usually do not hold any monetary value so they cannot be used in a typical financial transaction.  SIX network is one of the first ICO projects that focused on solving problems for over 100 millions creative workers around the world to help them lead a better life. SIX network is formed by the group of companies that own leading creative platforms in South East Asia. These companies are comprised of Ookbee U, a joint venture between Tencent and Ookbee, Computerlogy, a company expert in technology and big data, and YDM from South-Korea. There are over 10m creative workers and 85 million USD revenue circulated on our platforms combined monthly and we have the plan to replace SIX token as a medium of our future.  SIX network started ICO process in March 2018 and sold out all of its tokens in May 2018. In June 2018, we continued to roll out our Strategy & Vision to solidify the confidence of our investors. One of our goals is to become the first platform in the world to change the perception of Blockchain technology from difficult to use and interact to become the technology that is easily applied and applicable in our daily life for creative workers and normal users.  Growing with partners and communities  In today’s world, we can’t ignore the fact that the trend of application development is to use API system acting as a bridge to connect other applications to the platform. At SIX network, we have one of the best team of developers that are expert in API development in the country. We hope to develop our infrastructure to become Blockchain-as-a-service. This year, we are developing SDK for our partners and developers to use via our infrastructure through our API system. This way partners can use “Pay with SIX” system that is integrated with our API, making their integration as easy and seamless as possible.  Alliance with Strongest Partners  Mr. Vatchara, Co-CEO of SIX network, said:  “SIX network has formed a partnership and co-invested in Chomchob, which is a platform that collected points/tokens from different providers and converts into over 200,000 products and services in Thailand. When we are fully SIX Token to Chomchob platform, SIX is developing its token utility to enable purchase of products and services in our daily life such as exchanging the tokens as a money coupon in fast food restaurant to purchase the foods.”  read more on : https://six.network SIX network community : https://t.me/SIXNetwork",False
11,msg48620301,https://bitcointalk.org/index.php?topic=3222272.0,,9476,Announcements (Altcoins),2018-12-12 12:11:54,cryptomining,Sr. Member,448,250,,[ANN] SIX network | Reinventing Digital Economy [2 weeks Softcap REACHED!],"Team shared the common goal, work together toward the vision and beyond the biggest results. #weareready #sixnetwork #blockchain #crypto #KR #TH https://t.co/rTqJCRARPD",False
