id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg35679868,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-04-27 00:08:18,egetrorx,Full Member,658,108,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,ico review https://icoshrimp.com/bitproperty-a-real-estate-investment-platform-powered-by-blockchain-and-smart-contract/,False
2,msg39396275,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-06-04 23:52:39,Cafeina,Newbie,2,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,From your WP:  https://i.imgur.com/2FQgyHi.png  From BitRent WP:  https://i.imgur.com/OkcmfRw.png  https://bitrent.io/wp-content/uploads/2018/02/Whitepaper_en-16.02.2018.pdf  Who copied it?,False
3,msg39430734,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-06-05 12:46:29,freakontop,Newbie,27,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,What will happen if you won't achieve softcap?,False
4,msg44296395,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-08-18 15:27:02,Otap2018,Newbie,98,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,This project will surely make investing in real estate much easier. With that token you will be able to buy or invest in a property whenever you want and wherever you are. And you will be able to make profit of it and get the money generated by this property straight into your wallet. With all the cost and fees that you would have to pay reduced thanks to the blockchain. Pretty simple and pretty convenient.,False
5,msg44302230,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-08-18 17:22:25,kigmairo,Newbie,74,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"Good luck and all the best, more info about project please",False
6,msg44305925,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-08-18 18:44:26,canwithme,Newbie,72,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"an innovative project, betting on the profile of each person and integrating them according to their abilities to the socio-economic environment .. congratulations",False
7,msg46981741,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-10-17 12:38:36,Tatsiana07,Member,532,13,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"Oh, how quiet it is. There is no news. The link to the telegram indicates that it was not found.",False
8,msg46983022,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-10-17 13:22:15,RuTranslator,Copper Member,152,10,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Russian translation reserved,False
9,msg32358800,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 10:20:59,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,"http://ico.bitproperty.online/img/btolck.jpg http://ico.bitproperty.online/img/bgh.jpg   Platform for investment from 1000$ in commercial and residential real estate at an early stage of construction  Tokenizing and digitalizing Real Estate Investment via Blockchain  We invest in promising properties at an early stage of construction in the most profitable cities around the world BitProperty carefully selects real estate objects and monitors their further development, which allows them to be confident of their success, and, accordingly, in the growth of investment  Video about company on YouTube:  http://ico.bitproperty.online/img/talk/b3.png  Date pre-ICO: 01 may 2018  End of pre-ICO: 31 may 2018  Date ICO: 11 June 2018  End ICO: 11 July 2018  Soft Cap - 1 000 000 $  Hard Cap - 5 800 000 $  The price per token - 0,5 $ (+ bonus 35% pre-ico)  Token name - BPS  Platform - Ethereum ERC20  List of accepted currencies ICO - ETH, BTC, LTC, fiat money  Total tokens released - 80 000 000 Number of tokens for sale - 64 000 000 Reserved for team and advisors - 8 000 000 Reserved for further development - 8 000 000  On what expenses will be attracted funds  32% IT Development 20% Marketing and Sales 15% Acquisitions and Partnerships 12.5% International Expansion 10% Admin and Operations 5% Development Fund 5% Legal 0.5% Bug Bounty Program  ICO Website http://ico.bitproperty.online/  Contact email bitproperty.online@gmail.com  Contact phone +7 (499) 390 34 65 +7 (925) 780 32 25  http://ico.bitproperty.online/img/soc/tele.png  Telegram messenger https://t.me/bitproperty_online",False
10,msg32364031,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 11:50:49,alexseuwka,Newbie,47,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,Holding for future information.,False
11,msg32369153,https://bitcointalk.org/index.php?topic=3129052.0,,376,Announcements (Altcoins),2018-03-15 13:07:59,koinov,Newbie,116,0,,✅✅✅[ANN][pre-ICO]BitProperty.online | Real Estate Investment✅✅✅,count me in for Russian and/or Italian bounty translation.,False
