id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg8906974,https://bitcointalk.org/index.php?topic=789952.0,msg8902541,15659,Announcements (Altcoins),2014-09-20 23:43:02,nightwishx,Hero Member,865,500,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,   Agree. If there is no innovation that is shitcoin..,False
2,msg8909935,https://bitcointalk.org/index.php?topic=789952.0,msg8906974,15659,Announcements (Altcoins),2014-09-21 08:05:55,minethemall,Full Member,199,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"   Lol same old coins, same old stupid comments, maybe this whole crypto thing is shit and we all need to get in the real world again!",False
3,msg8909984,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 08:12:07,Adamlm,Hero Member,804,1000,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"As long as there are miners there will be new coins. This, for example, can be a good opportunity for owners of old, less efficient scrypt ASICs. To dev: just make sure it will be a smooth launch, no premine, no instamine and you can enjoy your new coin being live.",False
4,msg8909995,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 08:13:30,fartbags,Legendary,1190,1000,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Great coin.  I'm so sick of all the ICO/IPO/blah blah blah scams going on lately.,False
5,msg8910080,https://bitcointalk.org/index.php?topic=789952.0,msg8909984,15659,Announcements (Altcoins),2014-09-21 08:27:28,minethemall,Full Member,199,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"   I agree, it will blow the cob webs off the rigs and give me a bit of work. These coins need to get back to basics and it looks so far citicoin is doing that, there's to many headaches and reading which comes along with these new coins at the moment and this doesn't",False
6,msg8911751,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 12:05:32,jjj0923,Sr. Member,266,250,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Please get POD,False
7,msg8913581,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 15:16:07,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Can someone please contact me if they can or know someone who can provide a chinese translation which they can keep it updated and post it in the relevant section. Thank you,False
8,msg8915664,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 18:26:44,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"Website design and hosting needed, can you please contact me if you are interested. Thank you",False
9,msg8915828,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 18:40:07,wisnon,Sr. Member,490,250,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"dev, please set the countdown, thank you! Upcoming IPO?",False
10,msg8916556,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-21 19:41:12,citicoin,Newbie,14,0,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,"There will be a countdown added when im fully confident i can meet the launch time set, there will be plenty of notice when the countdown is available. There is no IPO. Thank you",False
11,msg8921909,https://bitcointalk.org/index.php?topic=789952.0,,15659,Announcements (Altcoins),2014-09-22 06:43:06,minethemall,Full Member,199,100,,[ANN][CITI] Citicoin | Scrypt | New | Coming Soon,Try to avoid being listed on crappy exchanges and make sure it's not listed straight away,False
