id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36325740,https://bitcointalk.org/index.php?topic=3096913.0,msg35203866,40786,Marketplace (Altcoins),2018-05-04 19:17:26,Nginende,Member,210,10,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  Week #8 (28/04 - 04/05) Twitter profile: https://twitter.com/Easy_Sem Retweets and likes: 1. https://twitter.com/timeboxnetwork/status/990983946279235585 2. https://twitter.com/timeboxnetwork/status/991328085483118595 3. https://twitter.com/timeboxnetwork/status/991640660712329217 4. https://twitter.com/timeboxnetwork/status/992459577294761985 Tweets: 1. https://twitter.com/Easy_Sem/status/991652485248028672,True
2,msg36326572,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-04 19:28:34,belkkka,Full Member,308,100,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Twitter compaig Twitter Profile: https://twitter.com/belkkka_29 Week 7 (Apr 29 to May 04) Retweet: 1. https://twitter.com/timeboxnetwork/status/992294807429988360 2. https://twitter.com/timeboxnetwork/status/971711543007100928 3. https://twitter.com/timeboxnetwork/status/971314600531591169 Tweet: 1. https://twitter.com/belkkka_29/status/992384530945380352,True
3,msg36330259,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-04 20:19:06,#CR7,Newbie,182,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",WEEK:  7 (Apr 29 to May 04) Twitter Spreadsheet No: Twitter Link: https://twitter.com/aurin274 Followers- 1500 Eth adress: 0xf1EFB31BB92691e46a7fD6b3F94B438b5E947a8C  Link to retweets: 1- https://twitter.com/timeboxnetwork/status/984722903324241920 2- https://twitter.com/timeboxnetwork/status/984014667528974336 3- https://twitter.com/timeboxnetwork/status/980746352354148353 4- https://twitter.com/timeboxnetwork/status/980077227973869569 5- https://twitter.com/timeboxnetwork/status/979637163204657152  Link to tweets: 1- https://twitter.com/aurin274/status/983640290308177920,True
4,msg36573231,https://bitcointalk.org/index.php?topic=3096913.0,msg36088197,40786,Marketplace (Altcoins),2018-05-07 11:14:10,theaulian,Newbie,140,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",  TWITTER CAMPAIGN Week 9 (Mei 06 to Mei 12) Bitcointalk username : theaulian Twitter link: https://twitter.com/aulianbasira02 Twitter user : @aulianbasira02 Retweet: 1. https://twitter.com/timeboxnetwork/status/975670531801272320 2. https://twitter.com/timeboxnetwork/status/976359441330143232 3. https://twitter.com/timeboxnetwork/status/992294807429988360  Tweet: 1. https://twitter.com/aulianbasira02/status/993270515174273024,True
5,msg36634556,https://bitcointalk.org/index.php?topic=3096913.0,msg36032356,40786,Marketplace (Altcoins),2018-05-08 01:38:58,thachluan,Newbie,112,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",      Week 9 (04/5 - 10/05)                   Twitter Link: https://twitter.com/topcoin_Free                   Number on Spreadsheet : 1982                   Retweet & Likes:                1   https://twitter.com/timeboxnetwork/status/978477011432751105                2   https://twitter.com/timeboxnetwork/status/977106337946456064                3   https://twitter.com/timeboxnetwork/status/976683864121778176                   Tweet:                1   https://twitter.com/topcoin_free/status/992976896429248512               ,True
6,msg36636856,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-08 02:32:12,ayewaggue82,Newbie,434,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲",Week # 5 (apr 01 to april 07) Reetwet 1. https://twitter.com/timeboxnetwork/status/992294807429988360 2. https://twitter.com/timeboxnetwork/status/978879274051624960 3. https://twitter.com/timeboxnetwork/status/976359441330143232 Tweet 1. https://twitter.com/aye_waggue/status/992849382805401600,True
7,msg36696139,https://bitcointalk.org/index.php?topic=3096913.0,,40786,Marketplace (Altcoins),2018-05-08 16:13:15,hua_hui,Legendary,1386,1016,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲","Update 8: TB has been distributed to the signature and twitter participants since Apr-26-2018 UTC. Thanks for all the wonderful participants. As i have mentioned that the softcap is not reached but the team still will continue to push for the project, it may take quite some time for the team to raise the sufficient funds and then focus on the exchanges. This will demand a lot of patient.  I will be locking the thread. Once again, thanks for all the wonderful participants.",True
8,msg35919369,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 01:49:41,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
9,msg35919462,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 01:52:21,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
10,msg35919551,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 01:55:52,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
11,msg35919598,https://bitcointalk.org/index.php?topic=3096913.0,msg35719656,40786,Marketplace (Altcoins),2018-04-30 01:57:30,Baq Dsei,Newbie,84,0,,"[BOUNTY] TIMEBOX | $250,000 given away| 5 weeks only |💲Attractive Signature💲", ,True
