id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
22,msg31898815,https://bitcointalk.org/index.php?topic=2286053.0,msg31096244,11758,Announcements (Altcoins),2018-03-09 07:22:29,BlueChipper,Member,75,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"  Well, that's funny. What a great idea was born on that day with Charli AHO. Unfortunately, it's (again) a false claim. Actually, Illya has invented the home heating project already in 2017 without Charli AHO. Read this article and watch the video published in November 2017 already. Those Cointed claims are simply incredible stupid.",False
23,msg31922013,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-03-09 14:01:58,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,For further updates about the ICO we invite you to follow our social media channels and news on our websites.  www.cointed.com www.cointedtoken.com  Telegram: https://t.me/cointed_EN  Twitter: https://twitter.com/cointed_ico  Facebook: https://www.facebook.com/CointedICO/  For inquiries about products or cooperations please write to: office [at] cointed.com,False
24,msg32124664,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-03-12 09:18:42,roller_coiner,Newbie,44,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,I'm so glad that I took part of that project. I remember seeing it in November 2017(man feels so long ago). Anyways glad that I managed to recognize a 1337 project!,False
25,msg32124736,https://bitcointalk.org/index.php?topic=2286053.0,msg32124664,11758,Announcements (Altcoins),2018-03-12 09:19:58,coin-continuum,Newbie,49,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"   Its been one of those unordinary long ICOs, but it was really fun to keep up with it! I believe that those guys will reach their set goals, this is why I will hodl.",False
26,msg32124938,https://bitcointalk.org/index.php?topic=2286053.0,msg32124664,11758,Announcements (Altcoins),2018-03-12 09:23:30,JohnJacobA,Newbie,40,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,   I know. The feeling that you managed to find a good project worthy of your money is pure satisfaction to me atleast.,False
27,msg32125014,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-03-12 09:24:53,Jeremy-Whites,Newbie,43,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"I had forgotten about this ann thread. I have mostly been following you FB and Twitter, but I just wanted to congratulate you guys on a project well done!",False
28,msg32125065,https://bitcointalk.org/index.php?topic=2286053.0,msg32125014,11758,Announcements (Altcoins),2018-03-12 09:25:59,orion_tera,Copper Member,47,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"   Project well done, and may Cointed show the same professionalism that we know them of, while executing their roadmap! ",False
29,msg32125203,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-03-12 09:28:21,coindimitron,Newbie,52,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"I feel like a missed a really cool project. I managed to join in the middle of February, but I can see that many people were here since the beginning. It would have been so cool if I was here as well!",False
30,msg32125343,https://bitcointalk.org/index.php?topic=2286053.0,msg32125203,11758,Announcements (Altcoins),2018-03-12 09:30:44,Coinsaivory,Newbie,72,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"   I noticed the ICO toward the end of January, but It seems that it had a really rough start with all the rep attacks they were facing from competitors, but it seems that Cointed held their ground, and came out clean! Kudos",False
31,msg29856172,https://bitcointalk.org/index.php?topic=2286053.0,msg29855190,11758,Announcements (Altcoins),2018-02-08 12:27:31,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,   After the end of the ICO no more tokens will be generated. The unsold tokens will be burned.,False
32,msg29856369,https://bitcointalk.org/index.php?topic=2286053.0,msg29855349,11758,Announcements (Altcoins),2018-02-08 12:30:36,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,   After the end of the ICO we will start to invest in the growth of our project   you can check how many tokens are purchased here https://cointedtoken.com/,False
33,msg29857022,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-08 12:41:05,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"The crypto worlds are vastly unregulated, so the responsibility lies with companies. We at Cointed do our best to share it all with you guys! In our transparency report you can find anything from company ownership to invoices and contracts! https://themerkle.com/cointed-gets-on-board-the-transparency-bandwagon/",False
34,msg29857269,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-08 12:45:37,tothanhtuan,Full Member,448,100,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"The website interface looks quite professional and i'm very surpriced that there is a CEO - Vietnamese guy in your company. Interesting. But if you want to reach more customers , i advise you add more languages in the language tab",False
35,msg29858154,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-08 12:59:06,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"Becoming a leader in Europe was a great achievement. Yet, to be successful international we knew we have to step it up! Model X we did so! Learn more about it here! https://www.coinstaker.com/cointed-atms-better-product-more-growth",False
36,msg29858330,https://bitcointalk.org/index.php?topic=2286053.0,msg29858154,11758,Announcements (Altcoins),2018-02-08 13:01:41,JaxonLewis,Newbie,25,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,   I absolutely support your cause as a company!,False
37,msg29885599,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-08 20:18:05,semenrublev,Newbie,196,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Cointed is partnering payment solutions company to provide a crypto debit card that aims to make payments in crypto part of everyday life.,False
38,msg29924928,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-09 12:14:49,filsid,Full Member,630,103,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"Cointed gets on board the transparency bandwagon  There is a big hurdle in crypto adoption that is prohibiting the growth of digital currencies across the world. It is difficult for most laypeople to obtain digital assets in the first place  Even though acceptability of Bitcoin and other cryptocurrencies has greatly improved since their earliest day, as reported in the latest Bitcoin News, there are still a lot of problems that users have to face in actually getting their hands on cryptocurrencies in the first place. On the other hand obtaining fiat is pretty straightforward, simply walk into a bank or a cash machine and withdraw some.  Cointed, a company founded in 2015 by Christopher Rieder and Wolfgang Thaler were motivated by the principle that access to cryptocurrencies should be as easy as possible. In this their founded company has worked to put many bitcoin ATMs, making it easier for people to obtain digital assets. Cointed also facilitates payment processing in cryptocurrencies and in conversion of crypto assets and fiat for users.  https://themerkle.com/cointed-gets-on-board-the-transparency-bandwagon/",False
39,msg29933286,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-09 14:24:25,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Our promo video! Check out all the team members! https://www.youtube.com/watch?v=v7wNO8VH6sE,False
40,msg29959722,https://bitcointalk.org/index.php?topic=2286053.0,msg29858154,11758,Announcements (Altcoins),2018-02-09 22:09:45,WhaleHunter,Member,187,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,     That's a nice image. I can't wait to see these machines in every city I will visit. I will then be able to boast with my friends that I have this company's tokens,False
41,msg30139687,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-12 13:51:03,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,We got another independent review analyzing the benefits of the CTD token! Check it out!  https://youtu.be/HT4s5t7f0Uo?t=6m27s,False
42,msg30208960,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-13 14:03:00,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Cointed behind the scenes.    https://www.youtube.com/watch?v=Iws4yycuNrA&t=4s  ,False
43,msg30220644,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-13 16:50:26,Redbackone,Member,98,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Just invested more again this morning  Can't wait for the ICO to be over!,False
44,msg30273417,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-14 12:54:09,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,With our ICO campaign near its end we prepared a short recap of how everything is going until now. Check it out! https://www.coinstaker.com/cointed-ico-less-than-three-weeks-left,False
45,msg30352526,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-15 15:55:45,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"Our ICO is backed by three successful products online exchange, bitcoin ATMs and a mining facility. And, we are going global! Only 13 days left to contribute! Do not miss out! https://www.youtube.com/watch?v=FR0OZTARgUk&feature=youtu.be",False
46,msg30409361,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-16 13:06:22,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"We are working hard to be as transparent as possible in a verifiable way! So far our ICO has been great! We are confident that we will not only realize our goals "".. but also to build a community that can benefit from the tremendous potential that the industry holds over the coming year."" Well said, Merkle : https://themerkle.com/an-ico-that-lays-stress-on-complete-transparency",False
47,msg30602188,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-19 10:09:12,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"50k people on our exchange, 70 ATM locations and sold our mining rigs! Get on board our ÍCO before its over, only 9 days left!  https://www.youtube.com/watch?v=Iws4yycuNrA&t=38s",False
48,msg30605604,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-19 11:08:17,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"We are hitting the BlockDelhi conference in New Delhi on the 21st this month! Get to meet some of our team members and our advisers- Illya Frolov, Dr. Karthik and Sarfraz Patel! https://www.blackarrowconferences.com/blockdelhi-agenda.html",False
49,msg30670786,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-20 09:26:21,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"Exactly 8 days left of our ICO! With more than 4 million already in our wallet, the international expansion is a fact! Soon we are hitting the exchanges! Last chance to be part of the future of money! https://cointelegraph.com/news/green-mining-company-to-reduce-coin-generating-energy-costs-by-harnessing-renewable-power",False
50,msg30765278,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-21 14:39:27,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Third place right after the upcoming giant's Telegram and Kodak? That's brightened up the middle of the week! Once we hit the exchanges the price won't be that cheap! Do not miss out! Only a week left! https://www.coinstaker.com/top-5-icos-that-might-make-you-a-millionaire,False
51,msg28974954,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-26 14:52:47,TellerTom,Newbie,18,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"I saw a video of people making predictions of how the prices of Cointed would move, which sort of indicates that there is both interest and potential. I hope you stick to not issuing any more than what is sold! ",False
52,msg29006492,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-27 01:37:33,WhaleHunter,Member,187,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"There has been the news recently that VISA has revoked some license or whatever to companies which were issuing cards that allowed to spend cryptocurrencies, if I have got it right. Is it a risk that could affect also the Cointed project?",False
53,msg29161333,https://bitcointalk.org/index.php?topic=2286053.0,msg29006492,11758,Announcements (Altcoins),2018-01-29 11:08:40,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"   Yes, but Cointed is not affected by that, as we have stated in the past we will be releasing this product.",False
54,msg29161627,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-29 11:13:29,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"Early investors, who invested a minimum of 20 ETH will receive a Black Edition card and a transaction fee of only 1.5%! Regular Crypto Card users will be able to receive up to 30% discount for their transaction fee by using their CTD's  ICO will last only until February 28, don’t miss it!",False
55,msg29227892,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-30 10:30:10,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Our new promo video is out! Check out all the team members! The future of money is at your door! https://youtu.be/v7wNO8VH6sE,False
56,msg29240543,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-30 13:42:44,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,We share it all! Get an overview of what you can find in the transparency report regarding our products! https://www.coinstaker.com/cointed-transparency-report-part-2,False
57,msg29295895,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-01-31 08:41:49,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Seeing our community on fire makes our day! We got another independent review! Check out what Crypto Rich has to say about us!  Part 1:https://www.youtube.com/watch?v=4D8AbNwklkQ  Part 2: https://www.youtube.com/watch?v=neT9TmQ21pM&t=3s,False
58,msg29374546,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-01 10:50:16,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Partners using the PayCo system who contributed to our ICO can lower their transaction fee by 20%! There is 15% off on the hardware too! Want to share profits? Accept CTD tokens at your store and get 5% of the total fees!,False
59,msg29434391,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-02 07:46:45,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Check out the all new and improved Cointed ATM's!!! 😎 Do you like them?,False
60,msg29537974,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-03 17:28:57,Redbackone,Member,98,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,They look good. Hopefully more secure than the General Bytes units!,False
61,msg29538007,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-03 17:29:25,Redbackone,Member,98,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Also can't wait to see more two-way ATMs out and about. They're quite rare at the moment.,False
62,msg29618055,https://bitcointalk.org/index.php?topic=2286053.0,msg29227892,11758,Announcements (Altcoins),2018-02-05 00:10:09,September11,Member,135,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,    Very effective video. I've shared it with my FB contacts and so should everyone. Now it would be good to have also a video where the activities of Cointed are explained more in detail.,False
63,msg29649744,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-05 12:50:09,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,Only 23 days left of our ICO! We added more benefits to our token and implemented a voting platform! Be part of the future of money now!  https://www.coinstaker.com/cointed-token-upgraded,False
64,msg29712246,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-06 11:10:13,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"We are now toward the end of the ICO, and Cointed has proved that it is a company with great potential. Be part of it by investing before the end of the ICO!",False
65,msg29730952,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-06 16:09:28,alenaselya,Newbie,196,0,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,"COINTED is building a bridge between the cryptocurrency world and the real world. The goal is to satisfy the demand for convenient ways to convert fiat currency into cryptocurrencies and vice versa, without abandoning safety.",False
66,msg29784216,https://bitcointalk.org/index.php?topic=2286053.0,,11758,Announcements (Altcoins),2018-02-07 11:58:20,cointed_official,Member,154,10,,🔥🔥[ANN] Cointed ICO | 180 mio$ revenue | 100k GPUs | 100+ Bitcoin ATMs 🔥🔥,If you miss out on the news: We added more benefits to the CTD token! Now it providers higher benefits and voting rights. Read all about the voting platform here! https://www.coinstaker.com/cointed-voting-platform,False
