id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg43556931,https://bitcointalk.org/index.php?topic=2075983.0,msg33436047,8886,Announcements (Altcoins),2018-08-05 23:18:48,Flodner,Sr. Member,770,271,,WIRELINE | The Business Application Exchange |,"    Thanks, But taking to account how many project there are - it might be another Wireline..  Anyway it seems they don't care about brand awareness - people who will google their name will get to this thread and might have negative impression",False
2,msg43714757,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2018-08-08 14:45:32,dikan,Full Member,270,100,,WIRELINE | The Business Application Exchange |,"want to ask about this wireline project. whether it's finished or not. I attended this bounty contest but didn't get the tokens. for those who know, please help info.",False
3,msg48491243,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2018-12-06 14:58:06,Cimmy_revenger,Sr. Member,924,250,,WIRELINE | The Business Application Exchange |,"Hi Dev wireline. Any update about this projects , more than 1 years I know this projects but until this time I don't know how much you have token sell and if available trade on exchanger or not. Do you still run this projects or not Dev ? If yes , please give update announcement this projects in here.",False
4,msg48491464,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2018-12-06 15:06:15,Prina1,Copper Member,21,0,,WIRELINE | The Business Application Exchange |,Any recent updates on this?,False
5,msg48512619,https://bitcointalk.org/index.php?topic=2075983.0,msg48491464,8886,Announcements (Altcoins),2018-12-07 13:00:40,Cimmy_revenger,Sr. Member,924,250,,WIRELINE | The Business Application Exchange |,"  I don't think so. If you check group telegram , you can see Dev or admin last active 1 month ago , and than they haven't update anything about this projects. But if you want to Invest , this projects not recommended for you.",False
6,msg26680149,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2017-12-20 18:20:29,infobox,Full Member,630,102,,WIRELINE | The Business Application Exchange |,"Can someone update us on this project? In a recent Medium post, Lucas Geiger wrote that the bounty campaign was over. He added the participants would receive their reward at the end of the ICO, which was due to take place sometime in 2018. But now that post has been deleted by the author: https://medium.com/@wireline/wireline-ico-bounty-campaign-ends-successfully-e5dbd6e507fb",False
7,msg26979257,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2017-12-26 10:56:26,Aegean Skipper,Full Member,378,126,,WIRELINE | The Business Application Exchange |,"People from this forum have worked hard and for many months for this project and none had the decency to update those members with some news about the course of the project and the payment of their bounties.  So now the bounty section is closed and we are still waiting for the ""team"" to go for an ICO...",False
8,msg27001876,https://bitcointalk.org/index.php?topic=2075983.0,msg26979257,8886,Announcements (Altcoins),2017-12-26 19:07:44,infobox,Full Member,630,102,,WIRELINE | The Business Application Exchange |,"   I echo your words. It shouldn't be that hard to update those who worked hard to promote the project. Indeed, it would show respect and professionalism. ",False
9,msg27171671,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2017-12-29 19:00:33,wireline,Jr. Member,51,10,,WIRELINE | The Business Application Exchange |,Hi Wireliners! Hope everyone had a great holiday.  Wireline CEO Lucas Geiger in Marketwatch on why the Equifax breach was not an anomaly #blockchain http://on.mktw.net/2Ci5AsO,False
10,msg27664674,https://bitcointalk.org/index.php?topic=2075983.0,,8886,Announcements (Altcoins),2018-01-07 18:24:06,Flodner,Sr. Member,770,271,,WIRELINE | The Business Application Exchange |,"Somebody received tokens? I didn't receive them, and as I see bounty thread is closed",False
