id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg47546217,https://bitcointalk.org/index.php?topic=4824028.0,msg45642845,761,Announcements (Altcoins),2018-11-03 12:54:21,germsite,Sr. Member,884,253,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"    So what is it exactly that you appreciate? As far as I see it the team is doing nothing, exactly nothing to make this go forward.",True
2,msg43777263,https://bitcointalk.org/index.php?topic=4824028.0,msg43602753,761,Announcements (Altcoins),2018-08-09 15:31:04,germsite,Sr. Member,884,253,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"   I know what you want to imply with it, I just wanted to let you know that it is negatively connoted due to some very bad historical events with a project that sounds similar to your name.",True
3,msg43896262,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-11 17:12:16,tuansyho96,Newbie,135,0,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"  blockkonect  has set up a group of early explorers who have many years of experience and technology of block chain, and strive to create a decentralized platform for block chain transactions, and develop block chain solutions for real world and online market applications.",True
4,msg44009394,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-13 12:30:19,Payal_techy,Newbie,154,0,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,Your concept looks amazing. I hope you get your coin listed on ICO Guide https://www.icoguide.com/en so as to get better response.,True
5,msg44091615,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-14 20:10:53,vickx89,Member,322,14,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,really excited. and with affiliate program it will be great.,True
6,msg44094563,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-14 21:30:20,goldkingcoiner,Sr. Member,462,286,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"Ok so your team is composed of badly cut out people with some fade out from photoshop (you still can see some background). Their Linkin and twitter profiles are generic and empty, Your whitepaper has many easy mistakes, and a lot of doublespeak. Your application form accepts only gmail or yahoo account emails and you promise, without any basis, the ico will be on exchanges in less than 2 months. And you want to pay users with XBT. Oh and all your team members seem to have roughly the same amount of followers and they are all the same followers. HMMMMM  I smell a scam.  Ok so first of all, seriously? Thats just lazy: http://oi66.tinypic.com/2zg4s28.jpg  Second of all your team members have around 430-460 followers while having only 70-90 tweets as well as 70-90 followings. Going by the fact they all suspiciously have an account since may 2018, that would give them 3 months to make those followers. Thats 5 followers a day. Math does not add up.  Try harder next scam.",True
7,msg44153695,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-16 00:57:42,Nitroali,Copper Member,323,1,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"I view Soft cap 7,5 M$ and Hard Cap 9 M$  ,  on site I view soft cap 750 K$ and 900 K$ ,  what is the soft cap and Hard cap?? I think is not possible made a mistake like this ! I'm too verified the alert from goldkingcoiner about strage coincidence... All team  images  that  have a linkedin logo haven't the linkedin page  .... Twitter account all created in the same date and photoshop use. The name and photo are only on blockkonnect site , no other info on internet , very strange .... Like already write all this is high risk of scam project. Any comment from OP? Thanks  ",True
8,msg44159118,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-16 04:32:31,ngockhanh.vtv,Newbie,70,0,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,Any chance project team is making some sort of  interview with team members to boost an investor confidence and to share their vision of maecenas goals?,True
9,msg44200941,https://bitcointalk.org/index.php?topic=4824028.0,msg44179695,761,Announcements (Altcoins),2018-08-16 18:58:34,goldkingcoiner,Sr. Member,462,286,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,SCAM REVEALED!  https://bitcointalk.org/index.php?topic=4898286.0   P. S With Ethereum block chain any one can create a token and may scam you. Invest in the project only after knowing completely about the project.  Contract address for reference :  1. https://etherscan.io/token/0x8912ec366e379d6dbb72d2b50a3297adb7b7f171 2. https://etherscan.io/token/0xee1c3b79b5fdcee36b842804d381a875b5fb7594   ,True
10,msg44225068,https://bitcointalk.org/index.php?topic=4824028.0,,761,Announcements (Altcoins),2018-08-17 07:53:53,cryptomeo,Full Member,560,100,,[ANN][ICO] BLOCKKONNECT | Blockchain and Technology Forum | Monetization option,"Can the team reply and clarify the allegation, tq.",True
