id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51516460,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-18 20:56:26,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,Linux WALLET | WEB WALLET | Windows WALLET | OSX WALLET | ANDROID WALLET | iOS WALLET | BITFI HARDWARE WALLET |  Community  Announcements | Twitter | Facebook | GitHub | Telegram |,False
2,msg51516520,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-18 21:04:39,Joker07,Sr. Member,498,250,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,can we except 1$ by the end of the year?,False
3,msg51517314,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-18 22:58:15,mig6r,Sr. Member,742,250,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,Is the advanced transaction mixing system centralized or fully decentralized? If there is any counter party risk or risk of any data being compromised that would be bad.,False
4,msg51517692,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-19 00:01:21,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,"African Development Funding Group announces partnership with Apollo Currency  African Development Funding Group announces partnership with Apollo Currency The African Development Funding Group has announced its partnership with Apollo Currency.  The ADF, with its mandate of facilitating funding and solutions for the fulfillment of Africa continuously, investigates emerging technologies that will enable its vision to create wealth within Africa.  It is for this reason that the ADF has identified Apollo Currency Africa as the only and obvious choice with regard to cryptocurrency and its application in an African perspective, to form a partnership and integrate into the ADF's involvement in the African continent.  Because of Apollo's independent blockchain and endless features, the ADF is endorsing its use and adoption to all of the fifty-four (54) African countries it has relationships with.",False
5,msg51517699,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-19 00:02:45,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,"Apollo Currency's Blockchain Receives Endorsement From African Development Funding Group as 'The Only and Obvious Choice' to Fifty-Four (54) African Nations International Investment Company Advances Cryptocurrency Adoption Across Africa JOHANNESBURG, June 13, 2019   (Newswire.com) -  Today Apollo Currency announces a historic partnership with African Development Funding Group (ADF Group) to encourage the use and adoption of cryptocurrency at a national level across the continent of Africa.  The ADF Group works directly with 54 African Nations at the presidential and ministerial level to provide funding and sustainable development on a range of commercial and non-profit ventures. In addition, the ADF Group offers a comprehensive suite of financial consulting services to governments, specializing in wealth management, infrastructure projects, and more.  The ADF Group originated as an investment company focused on Africa, but has since expanded its reach on a global scale as an international fund management and private equity company with interests across Asia, Europe, and Africa.  In an official letter dated May 30, 2019, ADF Group CEO, Mr. Anthony Mokhele states the following:  ""We as the ADF, with our mandate of facilitating funding and solutions for the upliftment of Africa continuously investigate emerging technologies that will enable our vision to create wealth within Africa.  ""It is for this reason that we have identified Apollo Currency Africa as the only and obvious choice with regard to cryptocurrency and its application in an African perspective, to form a partnership and integrate into our involvement in the African continent.  ""Because of Apollo's independent blockchain and endless features we are endorsing its use and adoption to any of the fifty-four (54) African countries we have relationships with.""  Apollo has made tremendous strides over the past 12 months by developing innovative solutions to longstanding challenges, namely the issues of speed, long term sustainability, privacy, and high transaction fees that plague some of the more established blockchains such as Bitcoin and Ethereum. Apollo, on the other hand, has managed to develop Sharding, a breakthrough technology that allows for hyper-efficiency, and subsecond transaction speeds. While other cryptocurrencies tend to “bog down” as more users join the network and begin sending transactions, Apollo does effectively the opposite, increasing its efficiency as more users join the network.  According to Steve McCullah, director of business development for Apollo, ""Sharding and adaptive forging make Apollo the most sustainable blockchain on Earth. Our goal is to realize sub-one-second transaction speeds and TPS capabilities in the multi-millions before the end of 2020."" Mr. McCullah goes on to say, ""It's crucial for developers to stay ahead of the curve, and to consider upcoming trends in their organization's strategic planning. The Web 3.0 economy is evolving fast and it's important to match developer competence with vision and prudence. Blockchain use-cases are leading to tectonic shifts in how people and merchants do business, and we want to prevent future issues that are avoidable. This approach makes the technology scalable and sustainable.""  The implications of this technology are massive when considered against the backdrop of many of the challenges facing the continent of Africa today, where over 70% of the world's mobile money transactions occur, according to GSMA 2018 statistics. This presents a challenge if even a small percentage of these transactions were to move to a less advanced blockchain infrastructure. If a nation were to attempt this without Apollo's next-generation technology, the network efficiency would suffer as the number of transactions increased. Not so with Apollo. Thanks to Apollo Sharding, Adaptive Block Generation and Fast Apollo technologies, the Apollo blockchain is capable of 1-2 second settlement speeds, making it one of the fastest cryptos on Earth. Utilizing the Apollo platform means that increased network volume does not have to come at the cost of efficiency, enabling a predominantly digital economy to transition with greater ease and effectively breaking down yet another barrier to mass adoption.  Mr. Mokhele had this to say regarding the application of the Apollo platform in Africa: ""I believe that Apollo currency is the best way to create wealth for the African people and the best solution to Africa's biggest problems."" Apollo (APL) all-in-one privacy currency combines features of mainstream cryptocurrencies in a truly private and unregulatable platform. With two-second block speed, APL is one of the fastest cryptos on Earth. The privacy platform lets ""Apollonauts"" transact and send data anonymously via Encrypted Messaging, Private Ledger, Decentralized Exchange, IP Masking 2.0 and Coin Mixing. Learn more at apollocurrency.com.",False
6,msg51517711,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-19 00:05:26,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,"African Development Funding Group Partners With Apollo Currency (Endorsing It’s Use & Adoption To 54 African Countries)   African Development Funding Group (ADF Group) + Apollo Currency June 13th 2019, African Development Funding Group (ADF Group) made an international announcement in support of the Apollo Currency, to encourage the use and adoption of cryptocurrency at a continental level across all of Africa. This release was featured across the industry.  Yahoo Finance PRNewswire WRCBtv MarketsInsider   What is The ADF Group? (African Development Funding Group) The ADF is an international investment company with a rapidly growing asset base.  ADF has developed a number of wholly-owned operating companies to undertake specific execution activities in select geographies.     These have been structured into the classical Primary, Secondary and Tertiary economic sectors.  Primary: Investments in the retrieval and production of raw materials through the following vehicles;  ADF Mining Ltd ADF Agriculture Ltd ADF Manufacturing Ltd Secondary: Investments in products and service transformation processes through the following vehicles;  ADF Construction Ltd ADF Estates Ltd ADF Plant Lease & Hire Ltd Tertiary: Investments in services to consumers and businesses.  ADF Technology Ltd ADF Health Ltd ADF Security Ltd ADF Retail Ltd ADF Group was originally founded as an investment company focused on Africa. As part of its expansion strategy in 2013, the head office was established in Hong Kong and its scope of operations transformed to include other developing regions of the world, and also specific advanced markets in order to fully exploit international investment strategies. ADF Group has since grown and evolved into an international fund management and private equity company with interests now spanning Asia, Europe and Africa. - Information Provided by https://www.adfgroupltd.com     Apollo Features Private Transactions Public Transactions IP Masking Monetary System Coin Shuffling Alias System Asset System Multi-Signature Accounts Encrypted Messaging Decentralized Exchange Decentralized Marketplace Phased Transactions Voting System Allows 3rd Party Plugins Authentication System Balance Leasing Smart Contracts File Transfer Data Cloud Transaction Fee Dividends Safe From 51% Attack Sharding Sustanability Adaptive Forging Decentralized Applications (Dapps) Transaction Speed - The Worlds Fastest Blockchain   Our Take Africa has been leading the way for mobile money customers since 2018, accounting for over 45% of all registered users. This trend will continue with the adoption of a cryptocurrency in their region. The biggest opportunity for mass adoption within the blockchain industry is to give the unbanked an opportunity to create and store wealth. To my understanding most of these locations have little to no banking services available in their region but they are heavy on mobile payment adoption. People in this region haven't been taught to use a banking system so there is no need to allow time for a financial transition in these locations. A better way to explain this is, these people are learning about finance from scratch. Therefore, most of the people in this region will only ever identify ""Finance"" or ""Money"" with a ""Cryptocurrency"" such as Apollo.  Apollo could potentially become the only currency some in this region ever identify with. There are 1.2Billion people in the Continent of Africa. This is extremely good news, not only for the Apollo project but for the entire cryptocurrency & blockchain industry. This partnership alone has the potential to expose 1.2Billion people to cryptocurrencies. To put this into perspective, there were only 34,660,975 blockchain wallet users in total at the end of the first quarter of 2019. That's a whopping 34 times the amount of total blockchain wallet users in the world right now. Take a second and think about that...   Moving forward, I can think of a thousand different ways Apollo Currency can be implemented into the different industries the ADF GROUP is involved with. Let's make a list..  Manufacturing - Product ID's & Worker Identification can be stored on the blockchain with multi-level verification available for each product produced. Health - Medical records for this entire region can be stored on the blockchain data cloud, encrypted & masked using Apollo's privacy features. Security - High level security could be verified using a blockchain signature to enter or leave a facility, they could also use blockchain privacy for file transfers. Retail - Entrepreneurs in the region could use the Decentralized Marketplace to sell goods and services. As you can see, there are many different opportunities this partnership provides for both parties. Only time will tell how they will implement the Apollo Blockchain.",False
7,msg51528883,https://bitcointalk.org/index.php?topic=5155848.0,msg51516520,446,Announcements (Altcoins),2019-06-19 21:34:37,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,   We hope for greater growth,False
8,msg51529292,https://bitcointalk.org/index.php?topic=5155848.0,msg51528883,446,Announcements (Altcoins),2019-06-19 22:31:53,mmmmyah,Full Member,166,100,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,   What are your goals? What will you do for further development?,False
9,msg51530185,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-20 01:11:44,nata75,Newbie,2,0,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-, ;)Thanks,False
10,msg51562920,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-22 16:33:41,pariscrypto,Member,264,10,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,https://apollocurrency.com/en/ - Join,False
11,msg51573749,https://bitcointalk.org/index.php?topic=5155848.0,,446,Announcements (Altcoins),2019-06-23 14:52:05,mig6r,Sr. Member,742,250,,[ANN] Apollo Currency-|APL|-|Proof of Stake|-,"Is the coin shuffling a decentralized process? Also, is this fully concentrated on the African area?",False
